well	time	measure
C5	12.2	197.535525
C5	13.2	176.248545
C5	14.2	149.438256
C5	15.2	131.371119
C5	16.2	106.453281
C5	17.2	87.452541
C5	18.2	69.261984
C5	19.2	55.318593
C5	20.2	44.331177
C5	21.2	35.069661
C5	22.2	28.0875012
C5	23.2	22.5213549
C5	24.2	18.8035584
C5	25.2	15.7432704
C5	26.21	13.6807572
D1	0.54	837.36741
D1	1.54	617.21913
D1	2.2	99.85701
D1	3.2	205.067544
D1	4.2	271.673226
D1	5.2	315.616323
D1	6.2	337.12899
D1	7.2	349.29015
D1	8.2	344.88927
D1	9.2	339.39444
D1	10.2	328.75854
D1	11.2	320.438547
D1	12.2	316.01658
D1	13.2	293.815467
D1	14.2	283.134324
D1	15.2	267.484701
D1	16.2	257.568663
D1	17.2	236.54994
D1	18.2	223.522728
D1	19.2	214.343448
D1	20.2	201.827703
D1	21.2	190.724556
D1	22.2	180.387933
D1	23.2	170.622177
D1	24.2	160.118376
D1	25.2	150.618237
D1	26.21	139.512219
D2	0.54	786.84078
D2	1.54	580.75281
D2	2.2	165.240801
D2	3.2	221.177286
D2	4.2	282.449871
D2	5.2	321.004926
D2	6.2	315.647409
D2	7.2	310.717638
D2	8.2	301.746324
D2	9.2	288.431484
D2	10.2	284.759805
D2	11.2	270.545484
D2	12.2	266.492457
D2	13.2	254.617308
D2	14.2	244.133241
D2	15.2	237.80229
D2	16.2	229.930866
D2	17.2	225.80382
D2	18.2	221.465871
D2	19.2	223.41132
D2	20.2	221.350569
D2	21.2	223.467057
D2	22.2	220.71126
D2	23.2	223.937208
D2	24.2	225.628986
D2	25.2	229.658121
D2	26.21	235.590993
D4	0.54	738.46542
D4	1.54	554.22675
D4	2.2	42.68682
D4	3.2	87.912924
D4	4.2	128.295684
D4	5.2	159.78369
D4	6.2	172.713156
D4	7.2	187.485507
D4	8.2	193.608888
D4	9.2	196.352937
D4	10.2	199.774839
D4	11.2	199.761738
D4	12.2	199.199682
D4	13.2	196.361253
D4	14.2	194.435736
D4	15.2	184.919592
D4	16.2	182.452941
D4	17.2	177.101463
D4	18.2	172.730976
D4	19.2	170.195586
D4	20.2	167.725998
D4	21.2	165.011319
D4	22.2	161.874141
D4	23.2	157.754487
D4	24.2	156.29922
D4	25.2	155.656611
D4	26.21	155.547975
D6	0.54	16664.142
D6	1.54	564.00762
D6	2.2	81.948702
D6	3.2	193.035876
D6	4.2	284.156532
D6	5.2	355.54827
D6	6.2	380.65302
D6	7.2	395.96073
D6	8.2	393.7131
D6	9.2	376.54782
D6	10.2	357.14613
D6	11.2	334.79853
D6	12.2	328.669242
D6	13.2	297.524535
D6	14.2	284.986449
D6	15.2	267.375933
D6	16.2	252.537549
D6	17.2	238.534692
D6	18.2	228.72993
D6	19.2	213.540393
D6	20.2	199.94997
D6	21.2	190.756335
D6	22.2	180.83076
D6	23.2	172.953165
D6	24.2	165.193578
D6	25.2	158.484216
D6	26.21	148.416642
